decision_id,decision,score,distinctive_max,register_id,register_birth_date,register_family_name,register_given_name,register_name,register_sex,sample_id,sample_birth_date,sample_family_name,sample_given_name,sample_name,sample_sex,evidence,review_outcome,reviewer,reviewed_at,reason
xwd:sha256:597c5556cd304c8822010f8d6768368d3736870201f501aa032eaeedaf7f6829,match,1.0,1.0,119,2016-05-07,White,Sage,Sage Isabella White,F,119,2016-05-07,White,Sage,Sage Isabella White,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:0caf39243520f8e28a00bc9d8c723377e16f37e159ac9bd13c1c7029ea7d7033,match,1.0,1.0,122,2018-11-21,Allen,Drew,Drew Samuel Allen,M,122,2018-11-21,Allen,Drew,Drew Samuel Allen,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:8a8afa1b359b3efe9fc2c123a8eda9972bcef9a3037d284baae9b2452bc2ed2e,match,1.0,1.0,129,2020-11-14,Green,Bailey,Bailey Daniel Green,F,129,2020-11-14,Green,Bailey,Bailey Daniel Green,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:98f6ddce080b161fbb808a1a95c3da05967120141bd9f543159350c13c46f909,match,1.0,1.0,131,2017-09-05,Lee,Morgan,Morgan Nicholas Lee,F,131,2017-09-05,Lee,Morgan,Morgan Nicholas Lee,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:f0491df78e00cb629521194d13b3012df31881b5080399f7b0de6acc1001f6af,match,1.0,1.0,133,2020-01-07,Hall,Avery,Avery Ryan Hall,F,133,2020-01-07,Hall,Avery,Avery Ryan Hall,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:caa9d9a8f1d39e0274e852ddbd14ff93d2048614882ba16175c173b7972ced81,match,1.0,1.0,174,2018-11-08,Rivera,Casey,Casey Ethan Rivera,M,174,2018-11-08,Rivera,Casey,Casey Ethan Rivera,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:6b81064b7faa0563b1e1d7760e82930c84463a4d1ba4c2ad42a0a31aebbf4d18,match,1.0,1.0,207,2020-06-25,Patea,Tuakana,Tuakana Toa Patea,M,207,2020-06-25,Patea,Tuakana,Tuakana Toa Patea,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:6d9d84e776e5c90ee4c68b536517f6fcb9528d1318187bf4a3c84a5000d639ec,match,1.0,1.0,210,2017-05-31,Tavita,Mele,Mele Kula Tavita,F,210,2017-05-31,Tavita,Mele,Mele Kula Tavita,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:7ba3c2339d1a56889ef52fb7ee9536fb0c056143030a435955f7648510016a71,match,1.0,1.0,212,2017-11-30,Teura,Sina,Sina Orama Teura,F,212,2017-11-30,Teura,Sina,Sina Orama Teura,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:d015433225a6bc32dc079a44edc5fab8e619619a841eb247610fcecb382c00a3,match,1.0,1.0,215,2017-08-03,Tuala,Iakopo,Iakopo Lutu Tuala,F,215,2017-08-03,Tuala,Iakopo,Iakopo Lutu Tuala,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:ffbc3a6dcf76362c751496b31b427e94775947d56646e7eda6b1c398ed33e75c,match,1.0,1.0,216,2018-10-11,Tane,Hinemoa,Hinemoa Atareta Tane,F,216,2018-10-11,Tane,Hinemoa,Hinemoa Atareta Tane,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:3a0f4f419484db7cfa15f89ac81ac9f19d555c0b1808e6bd872eb0efaf90c5f6,match,1.0,1.0,237,2018-06-20,Kaipo,Mikaele,Mikaele Taufa Kaipo,M,237,2018-06-20,Kaipo,Mikaele,Mikaele Taufa Kaipo,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:1a9240cc79f3780a2586ddfc3cf1108d04419c51408b355828b8ec3b37c605f8,match,1.0,1.0,239,2019-08-15,Onaona,Toa,Toa Malakai Onaona,M,239,2019-08-15,Onaona,Toa,Toa Malakai Onaona,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:a98c7b8ec84b993d0fa0e9c97dec5b19b204f969a8896489ac095bdb1246dc45,match,1.0,1.0,245,2017-01-08,Ola,Palefau,Palefau Soane Ola,M,245,2017-01-08,Ola,Palefau,Palefau Soane Ola,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:adaceace0cb09c6dc4cc7e48ff04af2a32398cfeea943fb9e1fe86f2b610fac0,match,1.0,1.0,246,2020-06-11,Tuitupou,Fetu,Fetu Leilani Tuitupou,F,246,2020-06-11,Tuitupou,Fetu,Fetu Leilani Tuitupou,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:78385c39c5bac30ea083d84bec5d72519f8e2bd760f39c56984bf1da56697632,match,1.0,1.0,257,2018-11-18,Davis,Desiree,Desiree Monique Davis,F,257,2018-11-18,Davis,Desiree,Desiree Monique Davis,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:699722428df45f5055899c8921e8d28d1f4c18e0a91e1253ba3a22d61d310932,match,1.0,1.0,263,2016-06-07,Adams,Monique,Monique Danielle Adams,F,263,2016-06-07,Adams,Monique,Monique Danielle Adams,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:0360e29fd1927ba05a2c1e34591d3cb8593690e264e06dc457260f24413f3124,match,1.0,1.0,268,2017-08-05,Richardson,Ciara,Ciara Marie Richardson,F,268,2017-08-05,Richardson,Ciara,Ciara Marie Richardson,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:27b1ae4e4cea004d76737554e182b3232e35131f5f50905f1caee7cb7770f59a,match,1.0,1.0,270,2019-11-12,Lee,Jazmine,Jazmine Michelle Lee,F,270,2019-11-12,Lee,Jazmine,Jazmine Michelle Lee,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:f07b28ec4a99bb5bc17e46113e725d8f8f3e405c63c937936e1fa8095b50f857,match,1.0,1.0,274,2019-06-20,Jackson,Corey,Corey James Jackson,M,274,2019-06-20,Jackson,Corey,Corey James Jackson,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:d029c809ba161d25bd34ed898c503583c5634af9427cf9b1bb332372819deb56,match,1.0,1.0,277,2018-09-28,Lewis,Andre,Andre Lamar Lewis,M,277,2018-09-28,Lewis,Andre,Andre Lamar Lewis,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:9af82ae3d8ea3f09a46cc60ba11d59c8913abcc3fdabf643f15b6568c9b5fff8,match,1.0,1.0,280,2017-11-09,Wilson,Terrence,Terrence Michael Wilson,M,280,2017-11-09,Wilson,Terrence,Terrence Michael Wilson,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:907f44959ca7dbfe087bb394cd401f3dd4ad7fbec99b190ac2095536d68214b0,match,1.0,1.0,282,2019-10-08,Wright,Clarence,Clarence Jerome Wright,,282,2019-10-08,Wright,Clarence,Clarence Jerome Wright,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:93c9741bbec358581b9832222d9d3ad93611b1e64f9534d8474526f0c89eb6de,match,1.0,1.0,286,2019-12-14,Anderson,Marquis,Marquis Alexander Anderson,,286,2019-12-14,Anderson,Marquis,Marquis Alexander Anderson,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:52ac17a469521473349495bd0db218bc3c9e5492a7c8e8d5b00db52e0baed9a5,match,1.0,1.0,288,2017-05-02,Baker,Cedric,Cedric Lamar Baker,M,288,2017-05-02,Baker,Cedric,Cedric Lamar Baker,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:3268cb67ce8575ba237e47f74b0774f71b213993f1a1b9e6a6389cf72fd04f04,match,1.0,1.0,292,2017-10-04,Davis,Rashad,Rashad Malik Davis,M,292,2017-10-04,Davis,Rashad,Rashad Malik Davis,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:d5eae0aa4ce3603e5df1527663481eed9ffe0f41e27d19ac31186fefb0825000,match,1.0,1.0,298,2019-09-23,Jackson,Terrance,Terrance Alexander Jackson,M,298,2019-09-23,Jackson,Terrance,Terrance Alexander Jackson,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:67edeeeb8402472ab5e91ca76303c62dfa0df1cd645b5dba93cea5da79da396a,match,1.0,1.0,308,2018-11-14,Robinson,Amelia,Amelia Faith Robinson,,308,2018-11-14,Robinson,Amelia,Amelia Faith Robinson,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:fe09d985774dd3abcd3c333d28b2cb52e8cabe042e4957d0642b09df37ce8b3d,match,1.0,1.0,315,2018-03-03,Davis,Evelyn,Evelyn Faith Davis,F,315,2018-03-03,Davis,Evelyn,Evelyn Faith Davis,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:7baefc491b827909d7fe4d1bc95b2e7b76d535562f4267e1b40cae67ba24fe8f,match,1.0,1.0,317,2017-12-18,Lee,Chloe,Chloe Isabella Lee,F,317,2017-12-18,Lee,Chloe,Chloe Isabella Lee,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:6374922222299abc94d347569425746efcba7cafd4e1633afbccc32d1547d944,match,1.0,1.0,322,2017-10-15,Kim,Zoey,Zoey Elizabeth Kim,F,322,2017-10-15,Kim,Zoey,Zoey Elizabeth Kim,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:6dbf3372407dde5697d511643efee4d086fc5ab525317927945fe1924a2e45c0,match,1.0,1.0,325,2020-11-26,Lee,Ariana,Ariana Elizabeth Lee,F,325,2020-11-26,Lee,Ariana,Ariana Elizabeth Lee,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:bef8674ed4fc0c1c9736d662736b8e31f3f8ac8215c48f2db7184368e9a93b23,match,1.0,1.0,331,2018-04-04,Robinson,Claire,Claire Olivia Robinson,F,331,2018-04-04,Robinson,Claire,Claire Olivia Robinson,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:a9e9ec9bec9e30d90af0449cb61b64ade62a708aa1a604534dcdfdabbde325af,match,1.0,1.0,333,2017-06-13,Wilson,Autumn,Autumn Elizabeth Wilson,F,333,2017-06-13,Wilson,Autumn,Autumn Elizabeth Wilson,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:e08aa33eb587e4daf0cec70661282e6400920f97ddcaf2e011136dfcdfb07f4c,match,1.0,1.0,334,2020-03-10,Lee,Paisley,Paisley Rose Lee,F,334,2020-03-10,Lee,Paisley,Paisley Rose Lee,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:c129a4c7fb6a5c7b608c9b505e9d3aa783f8de910af2a2a6072d7255839b916f,match,1.0,1.0,336,2018-11-18,Davis,Everly,Everly Sophia Davis,F,336,2018-11-18,Davis,Everly,Everly Sophia Davis,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:cc4a5150e9f9c54a8d704e934b09a6418282fd1e4fbcdf76f217766d571ef648,match,1.0,1.0,339,2020-05-24,Robinson,Julia,Julia Marie Robinson,F,339,2020-05-24,Robinson,Julia,Julia Marie Robinson,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:32f1954d08236c790fb36c3d53256b575304083f0e8f040bf3f2c65ffaafeb39,match,1.0,1.0,347,2017-10-10,Wilson,Hadley,Hadley Elizabeth Wilson,M,347,2017-10-10,Wilson,Hadley,Hadley Elizabeth Wilson,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:f4252230aa3a0903458d5ad423ef425fa58a71a5c03041732858e3f214a18492,match,1.0,1.0,361,2017-01-24,Smith,Naomi,Naomi Elizabeth Smith,,361,2017-01-24,Smith,Naomi,Naomi Elizabeth Smith,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:934715f6061aca2897358a328be25bedad1a5df9aa67e190b5402e161ded7ae4,match,1.0,1.0,363,2020-02-09,Davis,Piper,Piper Victoria Davis,F,363,2020-02-09,Davis,Piper,Piper Victoria Davis,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:c883a7b23238a1cad89a6b88b868303865c73e0bb37c2d739754b0ef8b08c976,match,1.0,1.0,366,2017-09-01,Robinson,Hope,Hope Olivia Robinson,F,366,2017-09-01,Robinson,Hope,Hope Olivia Robinson,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:c619a78802a5675303b64aa7a7cf75fd351cbc73a030f4bd375841e5b433da21,match,1.0,1.0,369,2019-08-04,Kim,Charlotte,Charlotte Nicole Kim,F,369,2019-08-04,Kim,Charlotte,Charlotte Nicole Kim,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:d5b31ed37ecbfb1cbbad0990e55cc0712de04de015f05f2d21864647c657c3f5,match,1.0,1.0,370,2017-02-13,Singh,Isabella,Isabella Marie Singh,F,370,2017-02-13,Singh,Isabella,Isabella Marie Singh,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:326b5a1eafdc4a733500e11935ca96d4d9826384547a5412ab9a4c35efa000d8,match,1.0,1.0,373,2017-06-16,Williams,Amelia,Amelia Claire Williams,F,373,2017-06-16,Williams,Amelia,Amelia Claire Williams,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:e7a4c5e21fa01f75e1a4d6c37208a48d77cf6cbde97e28a9ff15b6e0546c3271,match,1.0,1.0,379,2018-12-14,Garcia,Harper,Harper Jane Garcia,F,379,2018-12-14,Garcia,Harper,Harper Jane Garcia,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:a9b07604ddc5ad42dc5fb6148b9b1973da3b635d60527b7a3cd16ca7a2cbdb19,match,1.0,1.0,387,2018-06-28,Lewis,Eleanor,Eleanor Joy Lewis,F,387,2018-06-28,Lewis,Eleanor,Eleanor Joy Lewis,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:261428a474561abe44e2294b9272a561485bad3def5e0ff384f5a0724d9ac17f,match,1.0,1.0,394,2019-02-23,Lee,Audrey,Audrey Faith Lee,F,394,2019-02-23,Lee,Audrey,Audrey Faith Lee,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:95d6c58b522a72b7c736c77fd87a57d556facb4d0d24c46afa07686f47a25fbc,match,1.0,1.0,399,2016-11-02,Patel,Savannah,Savannah Grace Patel,F,399,2016-11-02,Patel,Savannah,Savannah Grace Patel,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:2dc456157e5892b1c6d3c9bae64707785e1f0982cab62622227f5e4b3e4b5582,match,1.0,1.0,413,2019-02-08,Hernandez,Hadley,Hadley Lynn Hernandez,F,413,2019-02-08,Hernandez,Hadley,Hadley Lynn Hernandez,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:ba2702983ca0dbd8bcededca4fb5ec870333d596f10c25b192089f9f5a65180e,match,1.0,1.0,414,2020-10-13,Taylor,Reese,Reese Hope Taylor,F,414,2020-10-13,Taylor,Reese,Reese Hope Taylor,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:28f6c6cc8cc211c16bd80827d667f2e1d9e8953126191dd13c67f836ea44a709,match,1.0,1.0,417,2016-12-16,Lewis,Paisley,Paisley Jane Lewis,F,417,2016-12-16,Lewis,Paisley,Paisley Jane Lewis,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:882580cd8730d3df6e8e863be15d4d3ab93db84ec24c43b936a1b336fff01253,match,1.0,1.0,420,2017-01-12,Collins,Molly,Molly Faith Collins,F,420,2017-01-12,Collins,Molly,Molly Faith Collins,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:53ca313809fe72ca50d7afd70269a0e5b5d32cc717865598b77c8bccb92dfe54,match,1.0,1.0,427,2017-08-14,Williams,Poppy,Poppy Rose Williams,F,427,2017-08-14,Williams,Poppy,Poppy Rose Williams,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:03b22496ae78e2884ca2ffd3b65f9a67882da7d2f47df01f9ce48fbde766e12e,match,1.0,1.0,431,2019-07-05,Kim,Phoebe,Phoebe Marie Kim,F,431,2019-07-05,Kim,Phoebe,Phoebe Marie Kim,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:fa4dc9696999910684b47d11cb86b53264537f22e806969baf1197950016438d,match,1.0,1.0,434,2017-04-21,Johnson,Alexa,Alexa Marie Johnson,F,434,2017-04-21,Johnson,Alexa,Alexa Marie Johnson,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:82a9ffcf97aa705541a99589806c087fb04dffbd4bfeb835c120550336d035cc,match,1.0,1.0,438,2016-12-22,Miller,Autumn,Autumn Marie Miller,F,438,2016-12-22,Miller,Autumn,Autumn Marie Miller,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:0d20fcada64b3c540e62ebefe2d2bd0923fe734fdaabd3a5b09b880bb8f5c159,match,1.0,1.0,439,2018-05-30,Garcia,Brooklyn,Brooklyn Jane Garcia,F,439,2018-05-30,Garcia,Brooklyn,Brooklyn Jane Garcia,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:a949b9be253ad46b7eca6586076c20d49243f52c40a6d48297e06d75139745c8,match,1.0,1.0,440,2017-03-01,Brown,Claire,Claire Elizabeth Brown,,440,2017-03-01,Brown,Claire,Claire Elizabeth Brown,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:ef3cccd4a66cbc92cefc3b7162024720adc128546939a2971a594c181e8489c8,match,1.0,1.0,442,2018-11-18,Wright,Piper,Piper Lynn Wright,F,442,2018-11-18,Wright,Piper,Piper Lynn Wright,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:1c9b1de685c77e37ddf73ec8b78021a082de31ec3b5eb99e970a4fa8812f5996,match,1.0,1.0,445,2020-01-06,Smith,Lily,Lily Marie Smith,F,445,2020-01-06,Smith,Lily,Lily Marie Smith,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:40afde7367e2aa22b6b45cc962bb91660e56bd7244494664a16a73e532e8469b,match,1.0,1.0,446,2016-09-11,Cooper,Harper,Harper Jean Cooper,,446,2016-09-11,Cooper,Harper,Harper Jean Cooper,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:e0d0e5c7e9c350804075b49d92f9f5346ad9089199a4a6dfc712b3c2351793d6,match,1.0,1.0,451,2019-08-03,Kim,Sophia,Sophia Hope Kim,F,451,2019-08-03,Kim,Sophia,Sophia Hope Kim,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:515fa2694d7c5831ca2272b78aceea4048e52015824656421cae91241e001b06,match,1.0,1.0,454,2018-09-08,Lee,Lily,Lily Faith Lee,F,454,2018-09-08,Lee,Lily,Lily Faith Lee,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:4fd1b9b4397628a2d7a0422ac86d880a1013b7fb5e52e01c9aa77d8a55574e69,match,1.0,1.0,458,2018-12-27,Davis,Zoey,Zoey Marie Davis,F,458,2018-12-27,Davis,Zoey,Zoey Marie Davis,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:f9093fd74b2fbea9e9d7543afff14523a3d2b52628677a8ff4423f7a2068f6e0,match,1.0,1.0,471,2016-02-19,Campbell,William,William Matthew Campbell,M,471,2016-02-19,Campbell,William,William Matthew Campbell,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:19bb5b0d3c325e85a0f398920c961e415959a388f100cde9110f83196af03775,match,1.0,1.0,479,2019-11-03,Taylor,Ryan,Ryan Christopher Taylor,M,479,2019-11-03,Taylor,Ryan,Ryan Christopher Taylor,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:ef667ef7b3f8adf1e411fb5e5e7fb8d3ddbea4ef4e936a007b8bc20f0284aa4f,match,1.0,1.0,482,2016-07-22,Lee,Joseph,Joseph Brandon Lee,M,482,2016-07-22,Lee,Joseph,Joseph Brandon Lee,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:22e910fd8e48d0c2ec65814d713a4646c935e633576668cc08b06345dd87ea39,match,1.0,1.0,485,2018-10-30,Torres,Brandon,Brandon Alexander Torres,M,485,2018-10-30,Torres,Brandon,Brandon Alexander Torres,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
