decision_id,decision,score,distinctive_max,register_id,register_birth_date,register_name,register_sex,sample_id,sample_birth_date,sample_name,sample_sex,evidence,review_outcome,reviewer,reviewed_at,reason
xwd:sha256:0aac587b637f2bf99a18138bffc00d835f71dc5c2ef3c19289f5bebf6afcc8e4,match,1.0,1.0,210,2017-05-31,Mele Kula Tavita,F,210,2017-05-31,Mele Kula Tavita,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:c449c6f2cb9b3ec06a432146c125d333c3cae9665458431dafc5a22a9cf36265,match,1.0,1.0,212,2017-11-30,Sina Orama Teura,F,212,2017-11-30,Sina Orama Teura,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:f4abc6ac855d24290ae6d2abb28d1c2b70b1bf7847943cf6f5ede7296280a5fb,match,1.0,1.0,215,2017-08-03,Iakopo Lutu Tuala,F,215,2017-08-03,Iakopo Lutu Tuala,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:9df0a144ad2554718c259c36b90c883239ec768d0bc38a4af888e53e17b8fc37,match,1.0,1.0,216,2018-10-11,Hinemoa Atareta Tane,F,216,2018-10-11,Hinemoa Atareta Tane,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:9aad387283e95688d82c14b5bc708319936de40ebeb1631fcbba1af382a88051,match,1.0,1.0,237,2018-06-20,Mikaele Taufa Kaipo,M,237,2018-06-20,Mikaele Taufa Kaipo,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:92db7be6987a28b5300884c8644bbaf225d7272b463bff5b5e8688ef773baa2b,match,1.0,1.0,239,2019-08-15,Toa Malakai Onaona,M,239,2019-08-15,Toa Malakai Onaona,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:269a1b520dae23ce46102f7023b6d89a408c498ce39e1313d7ebb314d8c4cc42,match,1.0,1.0,245,2017-01-08,Palefau Soane Ola,M,245,2017-01-08,Palefau Soane Ola,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:5a16d934a17254811fe654c83cb019aba1f68c01715b56f4839e45fdcfee6d27,match,1.0,1.0,246,2020-06-11,Fetu Leilani Tuitupou,F,246,2020-06-11,Fetu Leilani Tuitupou,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:a978300fd8e3d42eecde3cdd0e90c1a9246232ad4c20cc4e76a679fbf591b09b,match,1.0,1.0,257,2018-11-18,Desiree Monique Davis,F,257,2018-11-18,Desiree Monique Davis,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:830b703c636db7959488d94fa6879716f9ec783893864a1d0086290ca4c894eb,match,1.0,1.0,263,2016-06-07,Monique Danielle Adams,F,263,2016-06-07,Monique Danielle Adams,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:c74505d60e7a75e90d5df6a3a615bac4ea60ff77aa00dd17f206cdc9b8b035d7,match,1.0,1.0,268,2017-08-05,Ciara Marie Richardson,F,268,2017-08-05,Ciara Marie Richardson,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:d08d8101f6c057562874376a258f2140a7d3ce95a89caeecfb7e0dbf99697326,match,1.0,1.0,270,2019-11-12,Jazmine Michelle Lee,F,270,2019-11-12,Jazmine Michelle Lee,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:6b5b80bfa66246478026172fe388ec6c1da6896b957fd88793db332e34a14c45,match,1.0,1.0,274,2019-06-20,Corey James Jackson,M,274,2019-06-20,Corey James Jackson,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:89bde5de03ab86f2a1ee89a77879be7fa0bfee6fec7cfb3afd34f064e477eb8f,match,1.0,1.0,277,2018-09-28,Andre Lamar Lewis,M,277,2018-09-28,Andre Lamar Lewis,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:8dd3488e9e90f165d934c0bf11b97fcdeae3038529de2a252547422f6f668d67,match,1.0,1.0,280,2017-11-09,Terrence Michael Wilson,M,280,2017-11-09,Terrence Michael Wilson,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:40dc3693b7b61c4ceaf93e891890d173f44bf2a24232e120fd283e9fabc0d0bd,match,1.0,1.0,282,2019-10-08,Clarence Jerome Wright,,282,2019-10-08,Clarence Jerome Wright,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:6a6390e65bfcf0ab50ad1d45c323b86b0bffa026e3dfcc4769122ddd689c8070,match,1.0,1.0,286,2019-12-14,Marquis Alexander Anderson,,286,2019-12-14,Marquis Alexander Anderson,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:fda9d3dbe5133375b1c1d9ce73efb9d659ad038275cd747861752662ed6eee4c,match,1.0,1.0,288,2017-05-02,Cedric Lamar Baker,M,288,2017-05-02,Cedric Lamar Baker,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:9b262ce3ccf9ae5dee3c0cb137d72802f133a6df4ed159684ac6955910de4391,match,1.0,1.0,292,2017-10-04,Rashad Malik Davis,M,292,2017-10-04,Rashad Malik Davis,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:f780c51aa3fe48425caffcbc9a2bab28e033f037a4c5ce13c304e17ef3dda969,match,1.0,1.0,298,2019-09-23,Terrance Alexander Jackson,M,298,2019-09-23,Terrance Alexander Jackson,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:1d344d99d8f53d586b42c00191d5cb1d4e15cc1cbea6f1c2c889425c8351e0f0,match,1.0,1.0,308,2018-11-14,Amelia Faith Robinson,,308,2018-11-14,Amelia Faith Robinson,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:7ba9aeabb42b7ee63b4194ae51dcae7e9ed7d409c1ea02bb9f0d735bd9647625,match,1.0,1.0,315,2018-03-03,Evelyn Faith Davis,F,315,2018-03-03,Evelyn Faith Davis,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:18f09fb756e55927ee9960072f35780d2b2f6f07fdf81958cb66d216f01e0e83,match,1.0,1.0,317,2017-12-18,Chloe Isabella Lee,F,317,2017-12-18,Chloe Isabella Lee,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:07e6a2f2f29ed73595d4a0f2b7935e9c7f587a2ec68b869164e12d71437b5db5,match,1.0,1.0,322,2017-10-15,Zoey Elizabeth Kim,F,322,2017-10-15,Zoey Elizabeth Kim,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:54883e436e1101fb00de194fa5249e41ec08aec79466be1de44fa7399bca3244,match,1.0,1.0,325,2020-11-26,Ariana Elizabeth Lee,F,325,2020-11-26,Ariana Elizabeth Lee,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:77f8190a43eaeaffbdb2dca80c598488ae351cf29eedd60e98ccc6e6d784d433,match,1.0,1.0,331,2018-04-04,Claire Olivia Robinson,F,331,2018-04-04,Claire Olivia Robinson,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:4abf52e0475c5d3630648809ffb3c706c47342da27663b3e785dce3acb4b9c26,match,1.0,1.0,333,2017-06-13,Autumn Elizabeth Wilson,F,333,2017-06-13,Autumn Elizabeth Wilson,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:f43df751ba6b9d2dbf308714ac41dfadd9172a581cd6d9022845277d843cb9dc,match,1.0,1.0,334,2020-03-10,Paisley Rose Lee,F,334,2020-03-10,Paisley Rose Lee,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:6161e4e3eb0dc704fa2a4dad889fdfddffb39a944fd5f8cdd7045e19b377c98d,match,1.0,1.0,336,2018-11-18,Everly Sophia Davis,F,336,2018-11-18,Everly Sophia Davis,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:b0ad3323209dd1d2378e338542215141f9016725a0e386dcc51e103d20d6b1b7,match,1.0,1.0,339,2020-05-24,Julia Marie Robinson,F,339,2020-05-24,Julia Marie Robinson,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:b1fc21b191971ebf575846d0b0135f9640a8cc8e9c72b88f8ccbe66f1bfc8c1f,match,1.0,1.0,347,2017-10-10,Hadley Elizabeth Wilson,M,347,2017-10-10,Hadley Elizabeth Wilson,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:83476a56e0de97c6be667197d4a28c97e3deec8702309c300464e15ac077b277,match,1.0,1.0,361,2017-01-24,Naomi Elizabeth Smith,,361,2017-01-24,Naomi Elizabeth Smith,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:31932f591e5b5d2ba39fa003148b7cab49948efdb8c493fe46adf54178424ddc,match,1.0,1.0,363,2020-02-09,Piper Victoria Davis,F,363,2020-02-09,Piper Victoria Davis,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:a0337e3f7864d39e5f26520055fdb554d1be92d94a093b7221b0bb78863fef80,match,1.0,1.0,366,2017-09-01,Hope Olivia Robinson,F,366,2017-09-01,Hope Olivia Robinson,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:a7bea436d8402f99639e1931ae53001145cc5c87730b65bea1f9e639223d1258,match,1.0,1.0,369,2019-08-04,Charlotte Nicole Kim,F,369,2019-08-04,Charlotte Nicole Kim,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:efd5a4404eed8423c479552ea95b9aea89379c1373b96afc3c9e357f6a50cccd,match,1.0,1.0,370,2017-02-13,Isabella Marie Singh,F,370,2017-02-13,Isabella Marie Singh,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:5d8e1ebd297a6eb7e386072fad5db25fa16f570cada477354dc5ea79bac2e3e2,match,1.0,1.0,373,2017-06-16,Amelia Claire Williams,F,373,2017-06-16,Amelia Claire Williams,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:9bc9c0f1aa8d460dcc75d424ba889dd451a12a44d1ed8c1aba73ad281e42a5df,match,1.0,1.0,379,2018-12-14,Harper Jane Garcia,F,379,2018-12-14,Harper Jane Garcia,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:29606983a0f35cb0099bc1a45587efb91e464757f3c667fe1073f3677a990872,match,1.0,1.0,387,2018-06-28,Eleanor Joy Lewis,F,387,2018-06-28,Eleanor Joy Lewis,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:ff8ff54a83a470cadf788aad5364a7b27249ffd0c7d4dbbb4709aa49687caf7b,match,1.0,1.0,394,2019-02-23,Audrey Faith Lee,F,394,2019-02-23,Audrey Faith Lee,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:b25b58aa2ccd4e43c3b186689a3305a107ed487cbd8ad869961f74990c3547aa,match,1.0,1.0,399,2016-11-02,Savannah Grace Patel,F,399,2016-11-02,Savannah Grace Patel,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:f75eba3441535f7e9e78b1969d83a0c7228e8dcedaca65ff80e43c16022729f7,match,1.0,1.0,413,2019-02-08,Hadley Lynn Hernandez,F,413,2019-02-08,Hadley Lynn Hernandez,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:e43d1d38dab0c0d71acbb96cfee28881f9169c9e9f2e02323008d436f7411141,match,1.0,1.0,414,2020-10-13,Reese Hope Taylor,F,414,2020-10-13,Reese Hope Taylor,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:bd0f359b9fdfee8dc5e25fce7b0d2a573c761cc604d33395e39360b9de393a64,match,1.0,1.0,417,2016-12-16,Paisley Jane Lewis,F,417,2016-12-16,Paisley Jane Lewis,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:31109ca997b58221a364d070ae8d57d1c942ccbe12c58d3dd2f12a7950e43345,match,1.0,1.0,420,2017-01-12,Molly Faith Collins,F,420,2017-01-12,Molly Faith Collins,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:cbf8dba6c3f3d17d87036b5257320d30f5746029ae0be066fa0de571449e5c6b,match,1.0,1.0,427,2017-08-14,Poppy Rose Williams,F,427,2017-08-14,Poppy Rose Williams,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:c31521fc0409c202a6d4e7d70e6c2e2ecb8e3028ccb63f3cc5b4a2dadd48d7dd,match,1.0,1.0,431,2019-07-05,Phoebe Marie Kim,F,431,2019-07-05,Phoebe Marie Kim,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:cbf5d88797d2340fb8d5b2cf2e1ced4f85498a660f84e9b17e01c0341275cc44,match,1.0,1.0,434,2017-04-21,Alexa Marie Johnson,F,434,2017-04-21,Alexa Marie Johnson,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:aa5bec247b6fbc1542257fa55a77a27216911ac171515cd33c3cd6b38b085acd,match,1.0,1.0,438,2016-12-22,Autumn Marie Miller,F,438,2016-12-22,Autumn Marie Miller,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:fe65093ab51ed2b4934b8f8165742a4758dfd409587e2959223f264bf3275a43,match,1.0,1.0,439,2018-05-30,Brooklyn Jane Garcia,F,439,2018-05-30,Brooklyn Jane Garcia,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:1d5d014da79a15c842c4be87c785d2da61ff2d0472d49d143c7a4ba798ee5b9d,match,1.0,1.0,440,2017-03-01,Claire Elizabeth Brown,,440,2017-03-01,Claire Elizabeth Brown,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:28db963c8a50b440dbe213c172d75d7c2fadf6c61aab34b8f56e3885663d7081,match,1.0,1.0,442,2018-11-18,Piper Lynn Wright,F,442,2018-11-18,Piper Lynn Wright,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:0c027890b98c64e449619f4b77c13122adbacb4b274a315b51f39776e5d69334,match,1.0,1.0,445,2020-01-06,Lily Marie Smith,F,445,2020-01-06,Lily Marie Smith,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:cfcfe04133171e162f8354dde884b360011e3af00727c3e5c19afd470afb1519,match,1.0,1.0,446,2016-09-11,Harper Jean Cooper,,446,2016-09-11,Harper Jean Cooper,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:6559b5f27130ce5b96c82da59d60a82a2c0cb07613a95daa01acb16093631d46,match,1.0,1.0,451,2019-08-03,Sophia Hope Kim,F,451,2019-08-03,Sophia Hope Kim,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:28419d6e99d078be912a97f703bd6f7bb4faec214d25a5368a1b6257fcae5263,match,1.0,1.0,454,2018-09-08,Lily Faith Lee,F,454,2018-09-08,Lily Faith Lee,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:94c4b6817b5a1f4a858dedf3e265386499fc608d378743ea078f31344e13812d,match,1.0,1.0,458,2018-12-27,Zoey Marie Davis,F,458,2018-12-27,Zoey Marie Davis,F,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:1a069420622323b25e8f9aec0f12815fbe96350d0fc701aceeca70d27aa440a6,match,1.0,1.0,471,2016-02-19,William Matthew Campbell,M,471,2016-02-19,William Matthew Campbell,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:872db5e4465a269e77e14fd4072eea806546fcf1bdfef9a926ac971e06dec87d,match,1.0,1.0,479,2019-11-03,Ryan Christopher Taylor,M,479,2019-11-03,Ryan Christopher Taylor,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:7c0576e56494c268657b9da7c2496197a5e4d6e64ed6ab4f09bb08068b884e19,match,1.0,1.0,482,2016-07-22,Joseph Brandon Lee,M,482,2016-07-22,Joseph Brandon Lee,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:ba045ab8679e766f58ae9944746282dbed6779308414379377e459a91c2d2c3f,match,1.0,1.0,485,2018-10-30,Brandon Alexander Torres,M,485,2018-10-30,Brandon Alexander Torres,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:991f39b25fb831bbd8ca38c00127682b1c50425510f5d7f04daefc1c4c080765,match,1.0,1.0,488,2016-08-05,Kevin Alexander Perez,M,488,2016-08-05,Kevin Alexander Perez,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:d4105a088f291def088a5732aafeeadd97fce15e3d4f661b4a42c9df886d1f3c,match,1.0,1.0,492,2019-09-10,Justin Michael Foster,M,492,2019-09-10,Justin Michael Foster,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:61c9219c632cc95e3206dbba47330131146c1e4824f13d60dddbacce2b115775,match,1.0,1.0,494,2016-11-06,Timothy Steven Rodriguez,M,494,2016-11-06,Timothy Steven Rodriguez,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:e177ff0ab34d8f187a0a7b38aeead3ea6086b782b2cd657bbbb962eab2c20a0a,match,1.0,1.0,499,2017-03-19,Alexander Nicholas Young,M,499,2017-03-19,Alexander Nicholas Young,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:ca661524e18f47877b22f268bc734aa64f9bdd80e94bec1f6ce900028b8b1543,match,1.0,1.0,500,2016-10-19,Dylan Benjamin Hall,M,500,2016-10-19,Dylan Benjamin Hall,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:dc979b683d41bca95e244a2b8bb40a6b46e44c8b6c749b29d9d6cbb24549a5b2,match,1.0,1.0,503,2020-12-08,Mason Joseph Lewis,M,503,2020-12-08,Mason Joseph Lewis,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:bbdd29964fa6858f734f65f65fe8ab1ed6a137a9d703977b2893f507675f397d,match,1.0,1.0,509,2017-08-30,Cody Richard Clark,M,509,2017-08-30,Cody Richard Clark,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:cef497de52578b98327ae28925fe4c0ed3f1166396eefe410fd55bd3089a9b8c,match,1.0,1.0,516,2016-02-23,Tyler James Perez,,516,2016-02-23,Tyler James Perez,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:d4a3c278404f65284c4a4dd08479fd0d814a3714bea12c723e065af1824a8db3,match,1.0,1.0,520,2020-01-01,Nicholas Joseph Roberts,M,520,2020-01-01,Nicholas Joseph Roberts,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:3b97502ce51903f0d63384cfac72fefcb4c8aa821fc8776e9f4712e41f4440a0,match,1.0,1.0,526,2020-04-22,Daniel Matthew Ramirez,M,526,2020-04-22,Daniel Matthew Ramirez,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
xwd:sha256:6840c9f2de5387cd9dee9b5f91762c2d9aaaa123dd39259ee0a1c31bfbac2c13,match,1.0,1.0,530,2017-03-24,Nicholas Christopher Taylor,M,530,2017-03-24,Nicholas Christopher Taylor,M,"{""birth_date"": 1.0, ""name"": 1.0, ""name_tftoken"": 1.0}",,,,
